# M4 golden-master diff summary
# generated:  9 Jun 2026 20:48:20
# tier_filter: full
# rows_compared: 8324
# format: <STATUS>  <tier>  <filetype>  <consolidated_relpath>  <details>
#
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_ela_dropped.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_ela_all.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_math.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_math_dropped.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_math_all.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_ela_college.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_ela_college_dropped.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_ela_college_all.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_ela_las.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_math_las.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
PASS                    full    ster    estimates/va_cfr_all_v1/sum_stats/sum_stats_g11_ela_college_las.ster  coef and SE within tolerance (max|db|= 0.0000 max|dSE|= 0.0000)
MISSING_PREDECESSOR     full    other   output/graph/svycoverage/elemcoverage/elem1415/gr1resprate.png  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/output/graph/svycoverage/elemcoverage/elem1415/gr1resprate.png
MISSING_PREDECESSOR     full    other   output/graph/svycoverage/elemcoverage/elem1415/gr1femaledif.png  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/output/graph/svycoverage/elemcoverage/elem1415/gr1femaledif.png
MISSING_PREDECESSOR     full    other   output/graph/svycoverage/elemcoverage/elem1415/gr1maledif.png  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/output/graph/svycoverage/elemcoverage/elem1415/gr1maledif.png
MISSING_PREDECESSOR     full    other   output/graph/svycoverage/elemcoverage/elem1415/gr2resprate.png  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/output/graph/svycoverage/elemcoverage/elem1415/gr2resprate.png
